order,ptype,vars,elapsed,env,ide
536,ggpairs,6,1.862669945,win,R
537,ggpairs,7,2.549388885,win,R
538,ggpairs,8,3.163056135,win,R
539,ggpairs,9,3.853205204,win,R
540,ggpairs,10,4.877892971,win,R
541,splom,2,0.09007287,win,R
542,splom,3,0.078135014,win,R
543,splom,4,0.109388113,win,R
544,splom,5,0.147990942,win,R
545,splom,6,0.153388023,win,R
546,splom,7,0.212812185,win,R
547,splom,8,0.271373034,win,R
548,splom,9,0.312537909,win,R
549,splom,10,0.351547003,win,R
550,splom,2,0.063817024,win,R
551,splom,3,0.082531214,win,R
552,splom,4,0.140613079,win,R
553,splom,5,0.125012875,win,R
554,splom,6,0.175580978,win,R
555,splom,7,0.207700014,win,R
556,splom,8,0.26402688,win,R
557,splom,9,0.410454988,win,R
558,splom,10,0.337254047,win,R
559,splom,2,0.062540054,win,R
560,splom,3,0.07813406,win,R
561,splom,4,0.093796015,win,R
562,splom,5,0.125046015,win,R
563,splom,6,0.171927929,win,R
564,splom,7,0.206798077,win,R
565,splom,8,0.250061989,win,R
566,splom,9,0.293341875,win,R
567,splom,10,0.348200083,win,R
568,splom,2,0.062506914,win,R
569,splom,3,0.093613863,win,R
570,splom,4,0.093794107,win,R
571,splom,5,0.125041008,win,R
572,splom,6,0.156284094,win,R
573,splom,7,0.233952045,win,R
574,splom,8,0.250041962,win,R
575,splom,9,0.301259995,win,R
576,splom,10,0.357786894,win,R
577,splom,2,0.062507153,win,R
578,splom,3,0.078165054,win,R
579,splom,4,0.100580931,win,R
580,splom,5,0.12971282,win,R
581,splom,6,0.17189002,win,R
582,splom,7,0.213992834,win,R
583,splom,8,0.265688896,win,R
584,splom,9,0.312663078,win,R
585,splom,10,0.363810062,win,R
586,splom,2,0.062544107,win,R
587,splom,3,0.078130007,win,R
588,splom,4,0.109387875,win,R
589,splom,5,0.136695862,win,R
590,splom,6,0.159579039,win,R
591,splom,7,0.203185081,win,R
592,splom,8,0.266367912,win,R
593,splom,9,0.317276955,win,R
594,splom,10,0.406041861,win,R
595,splom,2,0.081640005,win,R
596,splom,3,0.085429907,win,R
597,splom,4,0.109421015,win,R
598,splom,5,0.140641928,win,R
599,splom,6,0.202809095,win,R
600,splom,7,0.21877408,win,R
601,splom,8,0.267085791,win,R
602,splom,9,0.312567949,win,R
603,splom,10,0.381077051,win,R
604,splom,2,0.078133821,win,R
605,splom,3,0.081824064,win,R
606,splom,4,0.125013113,win,R
607,splom,5,0.140642881,win,R
608,splom,6,0.183064938,win,R
609,splom,7,0.203181028,win,R
610,splom,8,0.269996881,win,R
611,splom,9,0.32400012,win,R
612,splom,10,0.391023874,win,R
613,splom,2,0.078162193,win,R
614,splom,3,0.07814002,win,R
615,splom,4,0.113068819,win,R
616,splom,5,0.146698952,win,R
617,splom,6,0.187520981,win,R
618,splom,7,0.229574919,win,R
619,splom,8,0.265655994,win,R
620,splom,9,0.331906796,win,R
621,splom,10,0.388499022,win,R
622,splom,2,0.061622858,win,R
623,splom,3,0.093792915,win,R
624,splom,4,0.109353065,win,R
625,splom,5,0.144086838,win,R
626,splom,6,0.171921968,win,R
627,splom,7,0.231465101,win,R
628,splom,8,0.32068491,win,R
629,splom,9,0.338021994,win,R
630,splom,10,0.397350073,win,R
631,splom,2,0.097992897,win,R
632,splom,3,0.078153133,win,R
633,splom,4,0.131340027,win,R
634,splom,5,0.134189129,win,R
635,splom,6,0.215064049,win,R
636,splom,7,0.23424983,win,R
637,splom,8,0.285773039,win,R
638,splom,9,0.335702896,win,R
639,splom,10,0.400913,win,R
640,splom,2,0.078161001,win,R
641,splom,3,0.078166962,win,R
642,splom,4,0.109418869,win,R
643,splom,5,0.146077871,win,R
644,splom,6,0.218771219,win,R
645,splom,7,0.22676301,win,R
646,splom,8,0.281311989,win,R
647,splom,9,0.343115091,win,R
648,splom,10,0.387770891,win,R
649,splom,2,0.082706213,win,R
650,splom,3,0.078133106,win,R
651,splom,4,0.130261183,win,R
652,splom,5,0.136238813,win,R
653,splom,6,0.285177946,win,R
654,splom,7,0.197157145,win,R
655,splom,8,0.234435081,win,R
656,splom,9,0.285641909,win,R
657,splom,10,0.34758997,win,R
658,splom,2,0.062532902,win,R
659,splom,3,0.078136921,win,R
660,splom,4,0.109387159,win,R
661,splom,5,0.128708124,win,R
662,splom,6,0.15220499,win,R
663,splom,7,0.203146935,win,R
664,splom,8,0.241358995,win,R
665,splom,9,0.281312943,win,R
666,splom,10,0.368035078,win,R
667,splom,2,0.062506914,win,R
668,splom,3,0.085545063,win,R
669,splom,4,0.099756002,win,R
670,splom,5,0.130362988,win,R
671,splom,6,0.156290054,win,R
672,splom,7,0.229198933,win,R
673,splom,8,0.250062943,win,R
674,splom,9,0.303520918,win,R
675,splom,10,0.363847971,win,R
676,splom,2,0.062540054,win,R
677,splom,3,0.078139067,win,R
678,splom,4,0.109423161,win,R
679,splom,5,0.128630877,win,R
680,splom,6,0.17189908,win,R
681,splom,7,0.203155041,win,R
682,splom,8,0.244394064,win,R
683,splom,9,0.300685883,win,R
684,splom,10,0.355450869,win,R
685,splom,2,0.062506914,win,R
686,splom,3,0.091554165,win,R
687,splom,4,0.109419823,win,R
688,splom,5,0.140641928,win,R
689,splom,6,0.157414913,win,R
690,splom,7,0.223784924,win,R
691,splom,8,0.281630993,win,R
692,splom,9,0.308097124,win,R
693,splom,10,0.374267101,win,R
694,splom,2,0.078161955,win,R
695,splom,3,0.082523108,win,R
696,splom,4,0.113583088,win,R
697,splom,5,0.131147861,win,R
698,splom,6,0.191231966,win,R
699,splom,7,0.226662874,win,R
700,splom,8,0.265661001,win,R
701,splom,9,0.326092005,win,R
702,splom,10,0.392550945,win,R
703,splom,2,0.06250596,win,R
704,splom,3,0.078124046,win,R
705,splom,4,0.109419823,win,R
706,splom,5,0.141539097,win,R
707,splom,6,0.171866894,win,R
708,splom,7,0.250824928,win,R
709,splom,8,0.272261143,win,R
710,splom,9,0.336206913,win,R
711,splom,10,0.40211916,win,R
712,splom,2,0.09383297,win,R
713,splom,3,0.093789101,win,R
714,splom,4,0.109419823,win,R
715,splom,5,0.140681028,win,R
716,splom,6,0.191975832,win,R
717,splom,7,0.222229958,win,R
718,splom,8,0.270701885,win,R
719,splom,9,0.328161001,win,R
720,splom,10,0.390674114,win,R
721,splom,2,0.068856001,win,R
722,splom,3,0.078109026,win,R
723,splom,4,0.109387875,win,R
724,splom,5,0.152170897,win,R
725,splom,6,0.191176891,win,R
726,splom,7,0.237977028,win,R
727,splom,8,0.282123089,win,R
728,splom,9,0.344296932,win,R
729,splom,10,0.406388998,win,R
730,splom,2,0.078104973,win,R
731,splom,3,0.093786955,win,R
732,splom,4,0.109421015,win,R
733,splom,5,0.159528017,win,R
734,splom,6,0.18533802,win,R
735,splom,7,0.234400988,win,R
736,splom,8,0.281795979,win,R
737,splom,9,0.375035048,win,R
738,splom,10,0.391690016,win,R
739,splom,2,0.076978922,win,R
740,splom,3,0.093752146,win,R
741,splom,4,0.125014067,win,R
742,splom,5,0.14248395,win,R
743,splom,6,0.185902119,win,R
744,splom,7,0.274187088,win,R
745,splom,8,0.278700113,win,R
746,splom,9,0.347220898,win,R
747,splom,10,0.403490067,win,R
748,splom,2,0.078162909,win,R
749,splom,3,0.093796015,win,R
750,splom,4,0.109380007,win,R
